id,account_number_fake,holder_name_fake,bank_name,account_type,ifsc_code,opened_at
52,499121655852,Saanvi Chauhan,Punjab National Bank,normal,PUNB08680,2025-06-18
53,257872982595,Ananya Kulkarni,State Bank of India,normal,SBIN09495,2025-12-15
54,879470551694,Vivaan Chauhan,Punjab National Bank,normal,PUNB07499,2025-08-28
55,097289623091,Saanvi Sharma,Bank of Baroda,normal,BARB07562,2025-11-08
56,368970283857,Sanjay Kulkarni,Bank of Baroda,normal,BARB05278,2025-10-11
57,549733484344,Aadhya Bhatt,Punjab National Bank,normal,PUNB07575,2026-01-04
58,441986652404,Sai Joshi,Bank of Baroda,normal,BARB07473,2025-08-18
59,484219933083,Kiara Verma,Punjab National Bank,normal,PUNB01657,2025-07-10
60,208267734540,Sai Malhotra,Bank of Baroda,normal,BARB09380,2026-05-21
61,620672400499,Reyansh Mehta,HDFC Bank,normal,HDFC04788,2025-12-09
62,874315274205,Navya Yadav,HDFC Bank,normal,HDFC03296,2026-04-18
63,851612275304,Priya Menon,Axis Bank,normal,UTIB07454,2026-01-13
64,904530174268,Riya Bhatt,Bank of Baroda,normal,BARB01459,2025-08-25
65,272795687833,Lakshmi Gupta,HDFC Bank,normal,HDFC08785,2025-07-01
66,108839822587,Krishna Kapoor,Punjab National Bank,normal,PUNB03971,2026-05-16
67,707286790874,Vivaan Kulkarni,Punjab National Bank,normal,PUNB04039,2025-06-29
68,651801704622,Pooja Joshi,State Bank of India,normal,SBIN06766,2025-07-02
69,825128682300,Riya Naidu,Bank of Baroda,normal,BARB08686,2026-04-16
70,375243106903,Aadhya Gupta,HDFC Bank,normal,HDFC01907,2026-01-19
71,030673830284,Kiara Pandey,Bank of Baroda,normal,BARB09599,2026-03-28
72,534283644089,Diya Malhotra,Bank of Baroda,normal,BARB06870,2025-10-12
73,685662462873,Kiara Shah,Bank of Baroda,normal,BARB02708,2025-11-08
74,882634351751,Anil Pandey,Axis Bank,normal,UTIB03046,2026-02-17
75,901398373540,Aadhya Nair,Punjab National Bank,normal,PUNB01739,2026-03-01
76,638546785445,Ravi Pillai,HDFC Bank,normal,HDFC07175,2026-05-22
77,556093204899,Pooja Shah,HDFC Bank,normal,HDFC02353,2025-10-26
78,378547772522,Anil Pillai,Punjab National Bank,normal,PUNB02808,2025-06-14
79,006231203875,Vihaan Chauhan,State Bank of India,normal,SBIN09770,2025-06-03
80,860084840862,Reyansh Reddy,Punjab National Bank,normal,PUNB08233,2026-01-27
81,454615679334,Sai Malhotra,Punjab National Bank,normal,PUNB00166,2025-10-25
82,700217659180,Kiara Nair,Punjab National Bank,normal,PUNB09740,2026-05-25
83,489025039261,Riya Iyer,State Bank of India,normal,SBIN09396,2026-02-18
84,562185016315,Lakshmi Chauhan,Punjab National Bank,normal,PUNB09650,2026-02-02
85,773586629619,Navya Menon,ICICI Bank,normal,ICIC01142,2025-10-26
86,265511047541,Ishaan Gupta,Bank of Baroda,normal,BARB02678,2026-01-02
87,610158199560,Navya Desai,Punjab National Bank,normal,PUNB06183,2026-01-09
88,262244472126,Anika Desai,Punjab National Bank,normal,PUNB04715,2025-09-06
89,799371240659,Priya Mehta,HDFC Bank,normal,HDFC07569,2025-07-23
90,593752654793,Rahul Kulkarni,ICICI Bank,normal,ICIC04651,2026-05-28
91,398280737416,Vikram Rao,Punjab National Bank,normal,PUNB04342,2026-03-05
92,617979688680,Rajesh Bhatt,Axis Bank,normal,UTIB08911,2026-03-26
93,529096561014,Kiara Singh,HDFC Bank,normal,HDFC08899,2025-08-25
94,567982507146,Sai Reddy,Axis Bank,normal,UTIB02545,2025-11-24
95,875717751401,Vivaan Mehta,HDFC Bank,normal,HDFC01238,2025-08-07
96,258673622660,Divya Nair,Punjab National Bank,normal,PUNB07966,2025-06-02
97,334191825537,Krishna Patel,Bank of Baroda,normal,BARB07859,2025-10-29
98,691557924991,Ishaan Mehta,Punjab National Bank,normal,PUNB01341,2025-08-11
99,286692966278,Diya Kumar,ICICI Bank,normal,ICIC02742,2025-08-12
100,790507236887,Pooja Kapoor,ICICI Bank,normal,ICIC07677,2025-08-04
101,903404384279,Vikram Kumar,State Bank of India,normal,SBIN08191,2025-09-13
102,580783613407,Pari Joshi,Punjab National Bank,normal,PUNB01713,2025-08-21
103,959629233095,Anil Patel,Bank of Baroda,normal,BARB09825,2026-03-01
104,494812604223,Rohan Bhatt,ICICI Bank,normal,ICIC05367,2025-07-26
105,466711684577,Rahul Yadav,Punjab National Bank,normal,PUNB00175,2026-04-27
106,863637454589,Ishaan Yadav,State Bank of India,normal,SBIN07500,2025-07-09
107,701277063242,Anika Gupta,Bank of Baroda,normal,BARB05415,2026-02-14
108,206436110371,Ishaan Yadav,Bank of Baroda,normal,BARB03870,2025-06-04
109,516271361115,Rajesh Shah,Bank of Baroda,normal,BARB02622,2025-06-27
110,909275326973,Sai Reddy,Punjab National Bank,normal,PUNB02196,2025-10-15
111,523413899940,Riya Nair,Axis Bank,normal,UTIB08983,2026-03-18
112,403761379180,Rajesh Mehta,Axis Bank,normal,UTIB02696,2025-10-20
113,271091043006,Ravi Shah,Punjab National Bank,normal,PUNB08666,2025-07-03
114,889241418328,Rahul Kulkarni,Bank of Baroda,normal,BARB09146,2026-03-11
115,031617990421,Aarav Bhatt,HDFC Bank,normal,HDFC02027,2025-10-13
116,842524105648,Arjun Patel,Punjab National Bank,normal,PUNB09177,2025-12-16
117,079252419138,Aarav Verma,ICICI Bank,normal,ICIC00307,2025-10-20
118,220863536541,Meena Joshi,Axis Bank,normal,UTIB01802,2025-08-26
119,061744518705,Saanvi Shah,Punjab National Bank,normal,PUNB09493,2025-11-28
120,973832060385,Aarav Mehta,ICICI Bank,normal,ICIC00641,2025-08-19
121,367024103865,Deepak Pandey,Punjab National Bank,normal,PUNB01918,2025-07-22
122,619906234456,Rahul Mehta,Bank of Baroda,normal,BARB07431,2025-08-18
123,912127756185,Aadhya Naidu,HDFC Bank,normal,HDFC04741,2025-07-06
124,490352135680,Riya Patel,HDFC Bank,normal,HDFC02067,2026-01-02
125,831712100323,Neha Joshi,Bank of Baroda,normal,BARB01994,2026-05-23
126,013721510702,Meena Desai,State Bank of India,normal,SBIN06706,2026-02-21
127,253244720999,Myra Malhotra,Axis Bank,normal,UTIB04768,2025-12-04
128,146263838065,Manoj Kumar,State Bank of India,normal,SBIN07598,2025-10-03
129,420593040785,Geeta Menon,Axis Bank,normal,UTIB02133,2025-09-12
130,039652239559,Vivaan Bhatt,Punjab National Bank,normal,PUNB05992,2026-01-05
131,784270103930,Sanjay Pillai,HDFC Bank,normal,HDFC00593,2026-04-10
132,525002921851,Rajesh Bhatt,HDFC Bank,normal,HDFC06915,2025-09-26
133,226752895392,Priya Shah,ICICI Bank,normal,ICIC04220,2026-02-28
134,690295939172,Amit Pandey,Punjab National Bank,normal,PUNB01355,2025-08-05
135,157043315410,Vihaan Kulkarni,Bank of Baroda,normal,BARB07626,2025-12-09
136,586179327104,Vivaan Mehta,Axis Bank,normal,UTIB04115,2025-08-06
137,218159970629,Kavita Iyer,Axis Bank,normal,UTIB00153,2025-08-13
138,884443106987,Rohan Verma,Axis Bank,normal,UTIB05061,2025-09-23
139,973103241714,Neha Pillai,Bank of Baroda,normal,BARB07418,2025-10-29
140,565270477434,Meena Verma,HDFC Bank,normal,HDFC02115,2026-04-10
141,693806868793,Manoj Shah,Punjab National Bank,normal,PUNB01608,2026-01-08
142,992172233206,Sai Kapoor,Punjab National Bank,normal,PUNB06329,2025-09-09
143,116868548709,Geeta Singh,ICICI Bank,normal,ICIC06162,2025-07-28
144,991191485646,Vikram Yadav,Punjab National Bank,normal,PUNB09702,2025-09-15
145,299606530745,Vivaan Mehta,Axis Bank,normal,UTIB04447,2026-04-30
146,132475469137,Aadhya Desai,Bank of Baroda,normal,BARB07850,2025-12-18
147,148628902330,Myra Verma,HDFC Bank,normal,HDFC07053,2025-09-15
148,786103579727,Geeta Kumar,ICICI Bank,normal,ICIC05524,2026-03-18
149,140602933334,Pooja Singh,Bank of Baroda,normal,BARB00072,2026-02-07
150,903494466574,Aadhya Naidu,HDFC Bank,normal,HDFC04896,2026-01-13
151,085899441715,Anika Malhotra,State Bank of India,normal,SBIN05444,2025-08-13
152,830965207446,Neha Kulkarni,HDFC Bank,normal,HDFC00993,2025-10-12
153,387584282417,Ishaan Pandey,Bank of Baroda,normal,BARB04825,2026-02-10
154,353465549471,Manoj Verma,State Bank of India,normal,SBIN09991,2025-12-01
155,816846022356,Meena Naidu,HDFC Bank,normal,HDFC02521,2025-12-07
156,250074329271,Ishaan Chauhan,ICICI Bank,normal,ICIC06666,2025-12-03
157,008350583003,Kiara Bhatt,Axis Bank,normal,UTIB05421,2025-10-27
158,942104478985,Kavita Kapoor,Punjab National Bank,normal,PUNB02575,2026-03-19
159,260332309821,Rajesh Bhatt,HDFC Bank,normal,HDFC00648,2026-01-29
160,901001676184,Manoj Bhatt,State Bank of India,normal,SBIN02304,2025-11-11
161,184992618914,Krishna Reddy,Bank of Baroda,normal,BARB07393,2026-03-30
162,835642087375,Myra Sharma,ICICI Bank,normal,ICIC00119,2026-02-15
163,218114374470,Reyansh Iyer,Axis Bank,normal,UTIB00455,2025-11-13
164,110022557941,Rajesh Mehta,Bank of Baroda,normal,BARB02166,2025-11-25
165,676212021697,Meena Kapoor,ICICI Bank,normal,ICIC07296,2026-03-30
166,902771670145,Aarav Bhatt,ICICI Bank,normal,ICIC08993,2026-02-16
167,889163756289,Vihaan Sharma,ICICI Bank,normal,ICIC02877,2026-05-04
168,175354083866,Myra Gupta,HDFC Bank,normal,HDFC07797,2025-07-05
169,751701660880,Sai Chauhan,Axis Bank,normal,UTIB09488,2025-08-20
170,755037589975,Sunita Reddy,Bank of Baroda,normal,BARB01305,2025-10-16
171,488510272614,Divya Nair,Bank of Baroda,normal,BARB03163,2025-11-25
172,516091779827,Aarav Singh,HDFC Bank,normal,HDFC00869,2025-12-05
173,292216995866,Lakshmi Bhatt,Punjab National Bank,normal,PUNB03465,2025-09-23
174,226984858333,Divya Bhatt,Axis Bank,normal,UTIB04522,2025-12-13
175,515879968460,Sanjay Reddy,Punjab National Bank,normal,PUNB00620,2026-02-16
176,342442043805,Sunita Reddy,State Bank of India,normal,SBIN09838,2025-10-30
177,840666580043,Divya Naidu,HDFC Bank,normal,HDFC03598,2026-03-14
178,334721228160,Kavita Patel,Punjab National Bank,normal,PUNB08422,2026-01-13
179,057202590947,Meena Kumar,ICICI Bank,normal,ICIC05158,2025-08-25
180,818268861533,Amit Mehta,HDFC Bank,normal,HDFC05439,2025-12-24
181,801573993056,Krishna Kulkarni,Axis Bank,normal,UTIB04840,2026-05-20
182,588770435811,Ananya Kumar,Punjab National Bank,normal,PUNB08013,2026-02-16
183,361386120750,Sai Gupta,Bank of Baroda,normal,BARB00248,2025-06-28
184,346676650618,Aarav Malhotra,Punjab National Bank,normal,PUNB09190,2026-02-28
185,581449147660,Manoj Iyer,State Bank of India,normal,SBIN08326,2026-04-06
186,424508821009,Lakshmi Kulkarni,Punjab National Bank,normal,PUNB08814,2025-08-21
187,536822239431,Diya Kapoor,Bank of Baroda,normal,BARB09087,2026-02-06
188,141413975523,Reyansh Shah,Punjab National Bank,normal,PUNB09135,2025-12-06
189,594929955620,Rahul Menon,Axis Bank,normal,UTIB03645,2025-07-23
190,577754781291,Anika Rao,Bank of Baroda,normal,BARB08341,2026-03-10
191,080996930848,Anil Pillai,State Bank of India,normal,SBIN02563,2026-05-13
192,427881658039,Ananya Singh,Punjab National Bank,normal,PUNB02722,2026-01-06
193,275037314530,Aadhya Singh,Punjab National Bank,normal,PUNB05677,2026-05-09
194,051844989266,Rajesh Yadav,State Bank of India,normal,SBIN01846,2026-05-19
195,865577908272,Kiara Gupta,HDFC Bank,normal,HDFC08432,2025-08-12
196,591365177739,Ananya Malhotra,HDFC Bank,normal,HDFC06030,2025-07-20
197,922809202428,Neha Chauhan,Punjab National Bank,normal,PUNB09041,2025-08-24
198,977236929298,Pari Iyer,Axis Bank,normal,UTIB05799,2025-06-27
199,662103886291,Diya Pillai,HDFC Bank,normal,HDFC09908,2025-12-13
200,172980686508,Kavita Menon,State Bank of India,normal,SBIN07659,2026-04-09
201,916247314986,Pari Nair,Bank of Baroda,normal,BARB00098,2025-07-16
202,063565126944,Anil Desai,Punjab National Bank,normal,PUNB09594,2026-02-20
203,368872588744,Meena Joshi,Axis Bank,normal,UTIB06213,2025-11-21
204,213865890260,Sai Rao,Bank of Baroda,normal,BARB07961,2025-06-25
205,351906698490,Diya Malhotra,ICICI Bank,normal,ICIC07703,2026-04-27
206,843098839205,Myra Malhotra,Bank of Baroda,normal,BARB00214,2026-03-30
207,566938011848,Geeta Joshi,Axis Bank,normal,UTIB05439,2025-08-15
208,690426818184,Amit Reddy,Axis Bank,normal,UTIB08489,2025-09-06
209,769735779071,Pari Gupta,Bank of Baroda,normal,BARB06335,2025-11-08
210,880434165182,Manoj Mehta,ICICI Bank,normal,ICIC05394,2025-08-10
211,373334333395,Rohan Reddy,Bank of Baroda,normal,BARB01179,2025-06-03
212,075957947284,Neha Menon,Punjab National Bank,normal,PUNB09208,2026-04-07
213,780856271875,Aarav Sharma,Axis Bank,normal,UTIB03691,2025-10-05
214,942843479552,Vikram Desai,ICICI Bank,normal,ICIC03655,2026-04-28
215,472929314386,Priya Nair,Axis Bank,normal,UTIB02270,2025-08-08
216,728857448906,Reyansh Bhatt,Axis Bank,normal,UTIB02034,2025-12-03
217,175455884506,Krishna Joshi,Bank of Baroda,normal,BARB09399,2026-02-08
218,824558771694,Deepak Malhotra,Bank of Baroda,normal,BARB02256,2026-02-01
219,961125355449,Neha Patel,Punjab National Bank,normal,PUNB07598,2025-11-22
220,220234132611,Arjun Pillai,Axis Bank,normal,UTIB08006,2025-12-21
221,149216433472,Ishaan Singh,State Bank of India,normal,SBIN02005,2026-05-01
222,778487282997,Meena Desai,ICICI Bank,normal,ICIC08845,2025-12-05
223,317456424008,Ishaan Joshi,Punjab National Bank,normal,PUNB04780,2026-02-23
224,740649308536,Sunil Desai,Axis Bank,normal,UTIB06326,2026-04-18
225,341638944846,Saanvi Gupta,Axis Bank,normal,UTIB02241,2026-02-03
226,974973502080,Diya Reddy,Axis Bank,normal,UTIB04427,2026-03-10
227,312073564757,Aditya Mehta,State Bank of India,normal,SBIN01204,2026-03-29
228,187234601367,Myra Pandey,Axis Bank,normal,UTIB00371,2025-12-20
229,376452088147,Riya Nair,Bank of Baroda,normal,BARB05031,2025-08-31
230,650249163009,Manoj Bhatt,Bank of Baroda,normal,BARB09251,2025-09-05
231,719500528127,Kiara Mehta,HDFC Bank,normal,HDFC08573,2025-06-09
232,652407784873,Meena Iyer,Bank of Baroda,normal,BARB08557,2025-09-15
233,821827448570,Ravi Kulkarni,Punjab National Bank,normal,PUNB02095,2026-03-29
234,351863878294,Rahul Desai,Punjab National Bank,normal,PUNB05118,2026-02-11
235,022031731096,Vikram Singh,State Bank of India,normal,SBIN09940,2025-10-21
236,910371705865,Vihaan Chauhan,HDFC Bank,normal,HDFC04801,2026-04-21
237,138113863383,Meena Malhotra,ICICI Bank,normal,ICIC02886,2026-03-17
238,957612286852,Anil Chauhan,State Bank of India,normal,SBIN07558,2025-10-05
239,665939836845,Sunita Naidu,ICICI Bank,normal,ICIC06004,2026-01-18
240,824043350488,Sunil Yadav,State Bank of India,normal,SBIN09210,2025-11-26
241,224593344196,Meena Nair,ICICI Bank,normal,ICIC01572,2025-12-07
242,919409610556,Pooja Reddy,Bank of Baroda,normal,BARB03906,2025-06-22
243,805892583206,Sunita Chauhan,ICICI Bank,normal,ICIC09813,2025-11-15
244,622517908641,Neha Singh,ICICI Bank,normal,ICIC06227,2026-01-04
245,769389833146,Rahul Kapoor,HDFC Bank,normal,HDFC09116,2025-11-12
246,535590425979,Rohan Naidu,ICICI Bank,normal,ICIC00335,2025-07-31
247,110392405147,Manoj Sharma,Bank of Baroda,normal,BARB05383,2025-08-19
248,848792069804,Ananya Verma,Punjab National Bank,normal,PUNB04394,2025-06-21
249,016451046368,Reyansh Mehta,Axis Bank,normal,UTIB07981,2025-08-12
250,878003845762,Vivaan Joshi,HDFC Bank,normal,HDFC05543,2025-12-12
251,046084325621,Priya Singh,ICICI Bank,normal,ICIC09363,2026-01-09
252,649578232983,Ishaan Shah,HDFC Bank,normal,HDFC08262,2026-02-10
253,251881252056,Pooja Shah,Punjab National Bank,normal,PUNB07423,2025-07-12
254,209949993933,Vivaan Joshi,HDFC Bank,normal,HDFC01728,2026-04-25
255,752677223306,Aarav Patel,Punjab National Bank,normal,PUNB06333,2025-06-26
256,797573660965,Neha Chauhan,HDFC Bank,normal,HDFC09988,2026-02-05
257,081770388608,Priya Singh,Bank of Baroda,normal,BARB00347,2025-11-02
258,472649082771,Ravi Reddy,ICICI Bank,normal,ICIC02982,2025-10-31
259,570279371452,Krishna Gupta,Axis Bank,normal,UTIB01751,2025-12-21
260,689268602592,Ananya Rao,Bank of Baroda,normal,BARB02064,2025-09-29
261,742123094077,Vikram Kumar,Bank of Baroda,normal,BARB00973,2025-08-24
262,776719903849,Sunil Nair,Punjab National Bank,normal,PUNB00220,2026-02-09
263,020994510162,Ananya Kapoor,ICICI Bank,normal,ICIC04999,2026-04-02
264,279501455616,Sunil Gupta,Punjab National Bank,normal,PUNB04721,2026-02-25
265,586833901981,Manoj Pandey,ICICI Bank,normal,ICIC09469,2026-04-26
266,489952997877,Diya Chauhan,ICICI Bank,normal,ICIC03430,2025-07-16
267,713966055830,Saanvi Bhatt,State Bank of India,normal,SBIN04414,2025-09-25
268,850155699023,Amit Mehta,Punjab National Bank,normal,PUNB07702,2025-12-04
269,785760849588,Vivaan Nair,HDFC Bank,normal,HDFC09551,2025-07-28
270,056829962914,Rahul Bhatt,ICICI Bank,normal,ICIC00461,2025-12-11
271,574384215031,Sunita Singh,HDFC Bank,normal,HDFC00782,2025-08-13
272,784521823076,Sanjay Reddy,ICICI Bank,normal,ICIC00409,2026-05-05
273,570184094353,Saanvi Shah,State Bank of India,normal,SBIN04857,2026-02-16
274,422410988138,Suresh Kumar,State Bank of India,normal,SBIN05424,2026-01-09
275,214958702070,Reyansh Kulkarni,HDFC Bank,normal,HDFC00166,2025-08-09
276,997954538179,Ishaan Gupta,Bank of Baroda,normal,BARB07174,2026-02-21
277,773329456255,Deepak Pillai,Bank of Baroda,normal,BARB00171,2025-10-15
278,724599281615,Sunil Malhotra,Axis Bank,normal,UTIB01487,2025-11-03
279,639382761539,Kavita Desai,Punjab National Bank,normal,PUNB09583,2025-08-07
280,197199758172,Riya Kulkarni,Bank of Baroda,normal,BARB01919,2026-03-27
281,570132902278,Navya Kulkarni,Axis Bank,normal,UTIB09973,2025-08-19
282,549465190986,Ishaan Shah,Bank of Baroda,normal,BARB00580,2025-06-01
283,851403696566,Priya Desai,Bank of Baroda,normal,BARB08327,2025-07-25
284,865624220102,Vikram Kapoor,HDFC Bank,normal,HDFC06212,2026-02-05
285,796927868765,Kiara Iyer,Axis Bank,normal,UTIB06909,2025-12-11
286,384689500975,Krishna Yadav,Bank of Baroda,normal,BARB07128,2026-04-30
287,781891371894,Divya Verma,ICICI Bank,normal,ICIC05807,2025-11-24
288,795654420949,Pari Verma,Punjab National Bank,normal,PUNB07929,2025-06-21
289,490471281442,Divya Patel,Bank of Baroda,normal,BARB04401,2026-01-21
290,927524372805,Sai Rao,HDFC Bank,normal,HDFC09276,2026-03-27
291,372395041027,Neha Pillai,Axis Bank,normal,UTIB04783,2025-10-26
292,674286047658,Aditya Reddy,Bank of Baroda,normal,BARB08569,2026-05-23
293,454414967393,Sanjay Mehta,Bank of Baroda,normal,BARB02580,2026-02-17
294,106181753443,Aditya Sharma,State Bank of India,normal,SBIN09109,2026-02-11
295,911192692124,Navya Naidu,HDFC Bank,normal,HDFC01746,2026-02-24
296,542140665044,Diya Naidu,Bank of Baroda,normal,BARB01739,2025-10-31
297,712863917410,Arjun Gupta,HDFC Bank,normal,HDFC09470,2026-05-15
298,200642569087,Manoj Desai,Axis Bank,normal,UTIB06183,2025-06-02
299,719855460158,Amit Gupta,Axis Bank,normal,UTIB07432,2026-01-02
300,634615717320,Saanvi Sharma,State Bank of India,normal,SBIN09376,2025-06-25
301,478700505061,Aadhya Malhotra,Punjab National Bank,normal,PUNB08782,2026-03-15
302,310270790320,Diya Malhotra,Punjab National Bank,normal,PUNB00417,2026-01-24
303,911179931365,Neha Mehta,HDFC Bank,normal,HDFC01982,2025-10-03
304,092511426258,Ananya Naidu,HDFC Bank,normal,HDFC03902,2025-07-09
305,962071002194,Pooja Bhatt,Bank of Baroda,normal,BARB07232,2026-02-04
306,876329092791,Riya Joshi,ICICI Bank,normal,ICIC06083,2025-08-14
307,819588373403,Krishna Rao,State Bank of India,normal,SBIN07722,2026-02-16
308,054364597010,Anil Iyer,State Bank of India,normal,SBIN02078,2025-07-16
309,379956353153,Reyansh Menon,State Bank of India,normal,SBIN06363,2025-06-29
310,970623972652,Deepak Pandey,Axis Bank,normal,UTIB03543,2025-10-09
311,090421776253,Navya Chauhan,HDFC Bank,normal,HDFC02929,2026-01-01
312,168739774063,Myra Mehta,HDFC Bank,normal,HDFC06939,2025-07-28
313,060078068671,Sunita Pillai,Punjab National Bank,normal,PUNB03180,2026-02-25
314,632543107427,Meena Pandey,Bank of Baroda,normal,BARB09077,2026-03-27
315,625701658046,Anika Bhatt,HDFC Bank,normal,HDFC09893,2026-04-02
316,195085016579,Aditya Joshi,Bank of Baroda,normal,BARB05281,2026-01-04
317,325381793355,Anika Singh,Bank of Baroda,normal,BARB06401,2025-10-23
318,778817884795,Arjun Nair,ICICI Bank,normal,ICIC07116,2026-05-15
319,411241272380,Navya Desai,HDFC Bank,normal,HDFC08275,2025-11-11
320,043103856955,Vikram Yadav,Axis Bank,normal,UTIB08877,2025-09-27
321,242437540254,Deepak Iyer,Punjab National Bank,normal,PUNB09284,2025-08-10
322,223105927452,Aadhya Kumar,HDFC Bank,normal,HDFC00552,2025-10-23
323,828410672752,Aarav Pandey,Axis Bank,normal,UTIB08854,2025-12-02
324,929751702814,Vivaan Kulkarni,ICICI Bank,normal,ICIC09375,2025-07-06
325,093983430187,Sai Singh,ICICI Bank,normal,ICIC06375,2026-01-21
326,805626565045,Suresh Shah,Punjab National Bank,normal,PUNB07813,2026-03-10
327,674266299123,Riya Pillai,Axis Bank,normal,UTIB08519,2026-03-21
328,106462879232,Priya Shah,Axis Bank,normal,UTIB08704,2026-04-21
329,478730024471,Navya Desai,Punjab National Bank,normal,PUNB02730,2025-07-17
330,719597964715,Ravi Pandey,ICICI Bank,normal,ICIC09042,2026-01-12
331,257252045650,Navya Shah,State Bank of India,normal,SBIN08183,2026-03-25
332,219285544518,Geeta Joshi,Bank of Baroda,normal,BARB02028,2025-09-18
333,765213283389,Sanjay Kumar,ICICI Bank,normal,ICIC08167,2026-05-22
334,120754527985,Diya Bhatt,State Bank of India,normal,SBIN04013,2025-07-20
335,234232161107,Kavita Verma,Bank of Baroda,normal,BARB03108,2026-01-17
336,714014011939,Saanvi Iyer,State Bank of India,normal,SBIN05012,2026-04-25
337,495528938911,Geeta Sharma,Bank of Baroda,normal,BARB08334,2025-08-06
338,013875927125,Priya Desai,Punjab National Bank,normal,PUNB03836,2025-07-14
339,171827548015,Vikram Reddy,ICICI Bank,normal,ICIC06479,2026-03-13
340,738646317520,Vikram Kapoor,ICICI Bank,normal,ICIC01678,2026-02-11
341,112669121535,Saanvi Chauhan,Bank of Baroda,normal,BARB06136,2026-03-09
